chromosome	feature_start	feature_end	feature_id	feature_strand	feature_length	isize	nr_deviant	absence_start	absence_end	cov_mean	cov_stdev
Bd1	86604	87943	RLX_unknown_Bd1-21,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=6,name_orig:=Bd4_RLX_3,class:=RLX	+	1339	1420	5	86603	87967	10	11
Bd1	1254341	1255345	RLC_unknown_Bd1-127,ident_perc:=87.0,cov_perc:=15.0,tsd_len:=0,name_orig:=Bd5_RLC_9,class:=RLC	-	1004	1093.0	18	1254314	1255345	13	9
Bd1	1798466	1799783	RLG_unknown_Bd1-137,ident_perc:=98.0,cov_perc:=10.0,name_orig:=Bd5_RLG_4,class:=RLG	+	1317	1380.0	4	1798451	1799785	21	18
Bd1	1912181	1913892	RLC_unknown_Bd1-144,ident_perc:=100.0,cov_perc:=20.0,tsd_len:=5,name_orig:=Bd3_RLC_47,class:=RLC	+	1711	1718.0	6	1912181	1913892	29	21
Bd1	1937345	1940473	RIX_noname_Bd1-17,tsd_len:=1,name_orig:=RIX_noname_Bd1-17,class:=RIX	+	3128	3394	21	1937243	1940565	29	19
Bd1	2347501	2348842	RLX_unknown_Bd1-75,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=5,name_orig:=Bd4_RLX_3,class:=RLX	-	1341	1392.5	22	2347500	2348839	12	8
Bd1	2802171	2803515	RLX_unknown_Bd1-91,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_3,class:=RLX	-	1344	1428	13	2802180	2803516	16	13
Bd1	3551757	3553082	RLC_unknown_Bd1-180,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=6,name_orig:=Bd2_RLC_14,class:=RLC	+	1325	1381	7	3551756	3553082	19	13
Bd1	5497594	5498932	RLX_unknown_Bd1-166,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_3,class:=RLX	+	1338	1474.0	2	5497485	5498932	14	11
Bd1	5743732	5744266	RLX_unknown_Bd1-171,ident_perc:=87.0,cov_perc:=2.0,name_orig:=Bd1_RLX_8,class:=RLX	+	534	586	7	5743740	5744396	8	9
Bd1	7557083	7558429	RLX_unknown_Bd1-223,ident_perc:=93.0,cov_perc:=19.0,tsd_len:=2,name_orig:=Bd4_RLX_3,class:=RLX	-	1346	1422	17	7557052	7558426	9	11
Bd1	8101206	8102567	RLG_unknown_Bd1-457,ident_perc:=98.0,cov_perc:=9.0,name_orig:=Bd4_RLG_51,class:=RLG	-	1361	1482	5	8101193	8102628	19	13
Bd1	8152338	8157497	RLC_unknown_Bd1-6,tsd_len:=5,ltr_age:=0.227,name_orig:=Bd1_RLC_6,class:=RLC	+	5159	5246	19	8152337	8157495	12	13
Bd1	8318352	8319681	RLC_unknown_Bd1-308,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=2,name_orig:=Bd2_RLC_14,class:=RLC	-	1329	1415.0	6	8318354	8319683	28	21
Bd1	8471536	8472861	RLC_unknown_Bd1-315,ident_perc:=100.0,cov_perc:=17.0,tsd_len:=5,name_orig:=Bd1_RLC_43,class:=RLC	-	1325	1374	11	8471535	8472861	25	22
Bd1	9097221	9097936	RLC_unknown_Bd1-333,ident_perc:=98.0,cov_perc:=12.0,tsd_len:=0,name_orig:=Bd2_RLC_6,class:=RLC	-	715	765	15	9097222	9097931	10	10
Bd1	9282208	9283550	RLC_unknown_Bd1-348,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=0,name_orig:=Bd2_RLC_14,class:=RLC	-	1342	1378	9	9282216	9283545	23	26
Bd1	9826045	9827786	RLC_unknown_Bd1-371,ident_perc:=99.0,cov_perc:=20.0,tsd_len:=4,name_orig:=Bd1_RLC_18,class:=RLC	-	1741	1806.5	6	9826044	9827784	24	33
Bd1	10285661	10286727	RLC_unknown_Bd1-392,ident_perc:=94.0,cov_perc:=16.0,tsd_len:=5,name_orig:=Bd5_RLC_9,class:=RLC	+	1066	1105.5	20	10285663	10286726	33	24
Bd1	10345791	10353667	RLC_unknown_Bd1-8,tsd_len:=5,ltr_age:=0.258,name_orig:=Bd1_RLC_8,class:=RLC	-	7876	8024.5	8	10345790	10353704	52	38
Bd1	11042291	11042456	DTM_Mutator_c8-1_Bd1-13,tsd_len:=0,name_orig:=DTM_Mutator_c8-1_Bd1-13,class:=DTM	+	165	537	5	11042269	11042751	9	10
Bd1	11042566	11042727	DTM_Mutator_c8-1_Bd1-12,tsd_len:=2,name_orig:=DTM_Mutator_c8-1_Bd1-12,class:=DTM	-	161	537	5	11042269	11042751	8	10
Bd1	11118546	11118786	DTT_Stowaway_N_Bd1-4,tsd_len:=0,name_orig:=DTT_Stowaway_N_Bd1-4,class:=DTT	-	240	553	1	11119147	11119790	17	10
Bd1	11240884	11242213	RLC_unknown_Bd1-423,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=2,name_orig:=Bd2_RLC_14,class:=RLC	-	1329	1441.5	4	11240889	11242274	11	7
Bd1	12351716	12353019	RLX_unknown_Bd1-387,ident_perc:=94.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_1,class:=RLX	-	1303	1367	17	12351711	12353017	7	9
Bd1	12979853	12981187	RLC_unknown_Bd1-520,ident_perc:=100.0,cov_perc:=18.0,name_orig:=Bd2_RLC_39,class:=RLC	+	1334	1418.0	6	12979841	12981181	31	20
Bd1	13279096	13280420	RLC_unknown_Bd1-529,ident_perc:=100.0,cov_perc:=17.0,tsd_len:=10,name_orig:=Bd1_RLC_35,class:=RLC	+	1324	1405.0	8	13279095	13280420	49	34
Bd1	13579410	13582744	RLG_unknown_Bd1-942,ident_perc:=97.0,cov_perc:=13.0,name_orig:=Bd3_RLG_20,class:=RLG	+	3334	3422.5	2	13579398	13582815	11	11
Bd1	13672777	13676459	RLC_unknown_Bd1-546,ident_perc:=97.0,cov_perc:=22.0,name_orig:=Bd4_RLC_5,class:=RLC	+	3682	3774	21	13672781	13676460	52	58
Bd1	13677432	13678780	RLC_unknown_Bd1-547,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=0,name_orig:=Bd2_RLC_14,class:=RLC	+	1348	1411.0	14	13677449	13678777	15	9
Bd1	13884884	13890066	RLC_unknown_Bd1-12,tsd_len:=5,ltr_age:=0.638,name_orig:=Bd1_RLC_12,class:=RLC	+	5182	5220	17	13884884	13890063	5	7
Bd1	14059276	14061072	RLG_unknown_Bd1-980,ident_perc:=90.0,cov_perc:=12.0,name_orig:=Bd1_RLG_5,class:=RLG	-	1796	2055	5	14060870	14062933	15	11
Bd1	14411976	14420195	RLG_unknown_Bd1-10,tsd_len:=3,ltr_age:=0.488,name_orig:=Bd1_RLG_10,class:=RLG	-	8219	8432	1	14411802	14420247	14	36
Bd1	14441231	14441469	DTT_Stowaway_N_Bd1-5,tsd_len:=1,name_orig:=DTT_Stowaway_N_Bd1-5,class:=DTT	-	238	596	1	14441081	14441677	16	9
Bd1	15462240	15474866	DHH_D_Bd1-3,tsd_len:=0,name_orig:=DHH_D_Bd1-3,class:=DHH	+	12626	12647.5	20	15463718	15465777	11	11
Bd1	16869772	16872436	RLG_unknown_Bd1-1170,ident_perc:=99.0,cov_perc:=25.0,name_orig:=Bd1_RLG_34,class:=RLG	+	2664	2736.0	12	16869772	16872427	13	11
Bd1	19312443	19314764	RLG_unknown_Bd1-1304,ident_perc:=96.0,cov_perc:=15.0,name_orig:=Bd1_RLG_19,class:=RLG	+	2321	2342.5	18	19312445	19314745	7	10
Bd1	19682459	19686141	DTA_noname_Bd1-38,tsd_len:=5,name_orig:=DTA_noname_Bd1-38,class:=DTA	+	3682	3767	7	19686580	19686144	18	16
Bd1	20040491	20041201	RLC_unknown_Bd1-785,ident_perc:=99.0,cov_perc:=12.0,tsd_len:=5,name_orig:=Bd2_RLC_6,class:=RLC	-	710	740	17	20040491	20041201	10	9
Bd1	20239876	20248632	RLC_unknown_Bd1-18,tsd_len:=5,ltr_age:=0.288,name_orig:=Bd1_RLC_18,class:=RLC	-	8756	8791.0	14	20239875	20248631	63	70
Bd1	20991444	20992780	RLG_unknown_Bd1-1399,ident_perc:=99.0,cov_perc:=13.0,name_orig:=Bd2_RLG_10,class:=RLG	-	1336	1433.0	6	20991400	20992770	26	24
Bd1	21541963	21542674	RLC_unknown_Bd1-867,ident_perc:=99.0,cov_perc:=12.0,tsd_len:=5,name_orig:=Bd4_RLC_3,class:=RLC	+	711	760	5	21541944	21542670	10	10
Bd1	21551742	21553454	RLC_unknown_Bd1-868,ident_perc:=99.0,cov_perc:=20.0,tsd_len:=5,name_orig:=Bd3_RLC_47,class:=RLC	+	1712	1780	5	21551741	21553536	22	22
Bd1	21881260	21882586	RLC_unknown_Bd1-884,ident_perc:=97.0,cov_perc:=17.0,tsd_len:=3,name_orig:=Bd1_RLC_69,class:=RLC	-	1326	1391	13	21881259	21882584	7	9
Bd1	22211470	22212810	RLX_unknown_Bd1-693,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=5,name_orig:=Bd4_RLX_1,class:=RLX	+	1340	1380.5	14	22211469	22212809	10	7
Bd1	22633522	22636827	RLG_unknown_Bd1-1513,ident_perc:=92.0,cov_perc:=20.0,name_orig:=Bd5_RLG_19,class:=RLG	-	3305	3452.5	6	22633498	22636832	18	14
Bd1	23934037	23935350	RLC_unknown_Bd1-982,ident_perc:=97.0,cov_perc:=17.0,tsd_len:=5,name_orig:=Bd1_RLC_69,class:=RLC	+	1313	1404.0	4	23934016	23935365	13	14
Bd1	24178500	24178925	RLX_unknown_Bd1-773,ident_perc:=84.0,cov_perc:=2.0,name_orig:=Bd1_RLX_8,class:=RLX	-	425	739	1	24178457	24179230	6	10
Bd1	24391766	24401030	RLC_unknown_Bd1-25,tsd_len:=5,ltr_age:=0.058,name_orig:=Bd1_RLC_25,class:=RLC	+	9264	9321	23	24391765	24401030	41	27
Bd1	24869802	24871131	RLC_unknown_Bd1-1037,ident_perc:=99.0,cov_perc:=17.0,tsd_len:=0,name_orig:=Bd3_RLC_10,class:=RLC	+	1329	1391	9	24869808	24871143	14	14
Bd1	25033459	25034133	RIX_noname_Bd1-269,tsd_len:=0,name_orig:=RIX_noname_Bd1-269,class:=RIX	-	674	785.0	6	25033422	25034212	5	7
Bd1	25317408	25318752	RLX_unknown_Bd1-824,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=3,name_orig:=Bd4_RLX_1,class:=RLX	+	1344	1440	9	25317408	25318752	22	15
Bd1	25600078	25600286	DTH_Tourist_B_Bd1-17,tsd_len:=1,name_orig:=DTH_Tourist_B_Bd1-17,class:=DTH	-	208	576	9	25599834	25600356	10	11
Bd1	26106235	26107449	RLC_unknown_Bd1-1076,ident_perc:=99.0,cov_perc:=14.0,tsd_len:=0,name_orig:=Bd2_RLC_14,class:=RLC	+	1214	1269.0	12	26106234	26107449	16	14
Bd1	26270669	26275724	RLC_unknown_Bd1-1081,ident_perc:=97.0,cov_perc:=98.0,name_orig:=Bd3_RLC_18,class:=RLC	-	5055	5205.0	22	26270579	26275723	10	10
Bd1	26442726	26444047	RLC_unknown_Bd1-1084,ident_perc:=99.0,cov_perc:=15.0,tsd_len:=5,name_orig:=Bd2_RLC_14,class:=RLC	+	1321	1451	5	26442725	26444047	21	14
Bd1	26575882	26577606	RLC_unknown_Bd1-1086,ident_perc:=99.0,cov_perc:=20.0,tsd_len:=1,name_orig:=Bd3_RLC_47,class:=RLC	+	1724	1763.5	14	26575881	26577597	12	11
Bd1	26938733	26939092	RIX_noname_Bd1-287,tsd_len:=0,name_orig:=RIX_noname_Bd1-287,class:=RIX	+	359	542.5	2	26938726	26939104	8	7
Bd1	27180785	27182485	RLC_unknown_Bd1-1110,ident_perc:=100.0,cov_perc:=20.0,name_orig:=Bd4_RLC_18,class:=RLC	-	1700	1800.0	8	27180786	27182480	17	12
Bd1	27287760	27288167	RLG_unknown_Bd1-1932,ident_perc:=79.0,cov_perc:=4.0,name_orig:=Bd3_RLG_9,class:=RLG	+	407	532.0	6	27287764	27288209	17	14
Bd1	28350250	28351577	RLC_unknown_Bd1-1150,ident_perc:=100.0,cov_perc:=18.0,name_orig:=Bd2_RLC_39,class:=RLC	+	1327	1411	5	28350219	28351577	54	35
Bd1	29246526	29260617	RLG_unknown_Bd1-21,tsd_len:=5,ltr_age:=1.873,name_orig:=Bd1_RLG_21,class:=RLG	+	14091	14195.5	16	29246856	29260128	5	7
Bd1	30099148	30099383	DTT_Stowaway_N_Bd1-25,tsd_len:=2,name_orig:=DTT_Stowaway_N_Bd1-25,class:=DTT	+	235	609	1	30098773	30099406	12	10
Bd1	32472503	32480434	RLC_unknown_Bd1-35,tsd_len:=5,ltr_age:=0.031,name_orig:=Bd1_RLC_35,class:=RLC	-	7931	8039.5	12	32472502	32480432	71	33
Bd1	32886235	32887090	RLG_unknown_Bd1-2324,ident_perc:=95.0,cov_perc:=6.0,tsd_len:=0,name_orig:=Bd1_RLG_12,class:=RLG	+	855	946.0	6	32886234	32887093	18	9
Bd1	33506385	33507711	RLC_unknown_Bd1-1389,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=5,name_orig:=Bd2_RLC_14,class:=RLC	+	1326	1393	17	33506385	33507711	20	18
Bd1	34037046	34040290	RLX_unknown_Bd1-1118,ident_perc:=95.0,cov_perc:=35.0,name_orig:=Bd4_RLX_10,class:=RLX	-	3244	3312	7	34037031	34040297	18	22
Bd1	34304915	34311223	RLC_unknown_Bd1-1435,ident_perc:=98.0,cov_perc:=94.0,ltr_age:=0.338,name_orig:=Bd5_RLC_9,class:=RLC	-	6308	6639	19	34304914	34311520	14	13
Bd1	34441893	34442591	RIX_noname_Bd1-386,tsd_len:=1,name_orig:=RIX_noname_Bd1-386,class:=RIX	-	698	1003	13	34441609	34442574	6	8
Bd1	34684430	34684923	RLG_unknown_Bd1-2455,ident_perc:=94.0,cov_perc:=4.0,tsd_len:=1,name_orig:=Bd5_RLG_30,class:=RLG	-	493	539	1	34684622	34685171	15	12
Bd1	35197360	35199073	RLC_unknown_Bd1-1502,ident_perc:=100.0,cov_perc:=20.0,tsd_len:=5,name_orig:=Bd3_RLC_47,class:=RLC	-	1713	1825.0	10	35197329	35199073	26	15
Bd1	35338760	35340090	RLC_unknown_Bd1-1510,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=2,name_orig:=Bd2_RLC_14,class:=RLC	+	1330	1422.5	10	35338755	35340090	23	16
Bd1	35773103	35774814	RLC_unknown_Bd1-1543,ident_perc:=100.0,cov_perc:=20.0,tsd_len:=3,name_orig:=Bd3_RLC_47,class:=RLC	+	1711	1727.5	6	35773098	35774817	25	22
Bd1	36422975	36424015	RLG_unknown_Bd1-2710,ident_perc:=97.0,cov_perc:=6.0,name_orig:=Bd3_RLG_48,class:=RLG	-	1040	1192	5	36422974	36424071	17	11
Bd1	36737823	36740994	RLX_unknown_Bd1-1253,ident_perc:=91.0,cov_perc:=27.0,name_orig:=Bd4_RLX_19,class:=RLX	-	3171	3209	3	36737782	36740994	16	28
Bd1	36833355	36836699	RLG_unknown_Bd1-2831,ident_perc:=95.0,cov_perc:=34.0,name_orig:=Bd2_RLG_27,class:=RLG	-	3344	3439	17	36833359	36836700	12	16
Bd1	37239058	37240066	RLX_unknown_Bd1-1304,ident_perc:=98.0,cov_perc:=16.0,tsd_len:=5,name_orig:=Bd2_RLX_10,class:=RLX	-	1008	1041.0	12	37239058	37240066	12	9
