chromosome	feature_start	feature_end	feature_id	feature_strand	feature_length	isize	nr_deviant	absence_start	absence_end	cov_mean	cov_stdev
Bd1	86604	87943	RLX_unknown_Bd1-21,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=6,name_orig:=Bd4_RLX_3,class:=RLX	+	1339	1434	3	86583	87974	10	9
Bd1	1201494	1205137	RLG_unknown_Bd1-115,ident_perc:=86.0,cov_perc:=22.0,name_orig:=Bd4_RLG_59,class:=RLG	+	3643	3657	15	1201504	1205135	4	5
Bd1	1254341	1255345	RLC_unknown_Bd1-127,ident_perc:=87.0,cov_perc:=15.0,tsd_len:=0,name_orig:=Bd5_RLC_9,class:=RLC	-	1004	1056	11	1254314	1255345	15	10
Bd1	1798466	1799783	RLG_unknown_Bd1-137,ident_perc:=98.0,cov_perc:=10.0,name_orig:=Bd5_RLG_4,class:=RLG	+	1317	1465.0	2	1798414	1799783	21	18
Bd1	1937345	1940473	RIX_noname_Bd1-17,tsd_len:=1,name_orig:=RIX_noname_Bd1-17,class:=RIX	+	3128	3469	19	1937241	1940565	26	18
Bd1	2133340	2137369	DTA_noname_Bd1-4,tsd_len:=1,name_orig:=DTA_noname_Bd1-4,class:=DTA	-	4029	4092.5	14	2133343	2137370	3	7
Bd1	2347501	2348842	RLX_unknown_Bd1-75,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=5,name_orig:=Bd4_RLX_3,class:=RLX	-	1341	1419.0	18	2347500	2348841	11	7
Bd1	2802171	2803515	RLX_unknown_Bd1-91,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_3,class:=RLX	-	1344	1418.0	24	2802176	2803516	21	17
Bd1	3551757	3553082	RLC_unknown_Bd1-180,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=6,name_orig:=Bd2_RLC_14,class:=RLC	+	1325	1436	1	3551738	3553174	16	10
Bd1	4366035	4368549	RLC_unknown_Bd1-199,ident_perc:=94.0,cov_perc:=24.0,name_orig:=Bd2_RLC_29,class:=RLC	-	2514	2747	1	4368539	4371298	23	10
Bd1	4368574	4371106	RIX_noname_Bd1-32,tsd_len:=0,name_orig:=RIX_noname_Bd1-32,class:=RIX	-	2532	2747	1	4368539	4371298	4	6
Bd1	5497594	5498932	RLX_unknown_Bd1-166,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_3,class:=RLX	+	1338	1419.0	2	5497559	5498932	15	13
Bd1	5743732	5744266	RLX_unknown_Bd1-171,ident_perc:=87.0,cov_perc:=2.0,name_orig:=Bd1_RLX_8,class:=RLX	+	534	608	3	5743704	5744396	6	7
Bd1	5966618	5967463	RLX_unknown_Bd1-181,ident_perc:=95.0,cov_perc:=7.0,tsd_len:=5,name_orig:=Bd3_RLX_11,class:=RLX	-	845	919.5	2	5966593	5967476	5	4
Bd1	8101206	8102567	RLG_unknown_Bd1-457,ident_perc:=98.0,cov_perc:=9.0,name_orig:=Bd4_RLG_51,class:=RLG	-	1361	1486	3	8101181	8102620	17	10
Bd1	8152338	8157497	RLC_unknown_Bd1-6,tsd_len:=5,ltr_age:=0.227,name_orig:=Bd1_RLC_6,class:=RLC	+	5159	5222.0	22	8152337	8157495	13	12
Bd1	8318352	8319681	RLC_unknown_Bd1-308,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=2,name_orig:=Bd2_RLC_14,class:=RLC	-	1329	1421.5	10	8318354	8319681	32	25
Bd1	8471536	8472861	RLC_unknown_Bd1-315,ident_perc:=100.0,cov_perc:=17.0,tsd_len:=5,name_orig:=Bd1_RLC_43,class:=RLC	-	1325	1366	11	8471535	8472860	20	16
Bd1	8907323	8907533	DTT_Stowaway_B_Bd1-11,tsd_len:=0,name_orig:=DTT_Stowaway_B_Bd1-11,class:=DTT	+	210	559	1	8907215	8907785	20	11
Bd1	9097221	9097936	RLC_unknown_Bd1-333,ident_perc:=98.0,cov_perc:=12.0,tsd_len:=0,name_orig:=Bd2_RLC_6,class:=RLC	-	715	784	15	9097222	9097931	9	8
Bd1	9282208	9283550	RLC_unknown_Bd1-348,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=0,name_orig:=Bd2_RLC_14,class:=RLC	-	1342	1346.5	4	9282216	9283545	22	21
Bd1	9826045	9827786	RLC_unknown_Bd1-371,ident_perc:=99.0,cov_perc:=20.0,tsd_len:=4,name_orig:=Bd1_RLC_18,class:=RLC	-	1741	1803	3	9826044	9827833	23	31
Bd1	9883314	9898390	RLG_unknown_Bd1-4,tsd_len:=5,ltr_age:=4.085,name_orig:=Bd1_RLG_4,class:=RLG	-	15076	15133.0	8	9883314	9898390	2	4
Bd1	10285661	10286727	RLC_unknown_Bd1-392,ident_perc:=94.0,cov_perc:=16.0,tsd_len:=5,name_orig:=Bd5_RLC_9,class:=RLC	+	1066	1119.5	14	10285663	10286726	29	18
Bd1	10345791	10353667	RLC_unknown_Bd1-8,tsd_len:=5,ltr_age:=0.258,name_orig:=Bd1_RLC_8,class:=RLC	-	7876	7937.5	22	10345790	10353665	57	43
Bd1	11042291	11042456	DTM_Mutator_c8-1_Bd1-13,tsd_len:=0,name_orig:=DTM_Mutator_c8-1_Bd1-13,class:=DTM	+	165	552	5	11042290	11042751	10	11
Bd1	11042566	11042727	DTM_Mutator_c8-1_Bd1-12,tsd_len:=2,name_orig:=DTM_Mutator_c8-1_Bd1-12,class:=DTM	-	161	552	3	11042290	11042751	8	8
Bd1	11240884	11242213	RLC_unknown_Bd1-423,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=2,name_orig:=Bd2_RLC_14,class:=RLC	-	1329	1519	1	11240828	11242352	9	5
Bd1	12351716	12353019	RLX_unknown_Bd1-387,ident_perc:=94.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_1,class:=RLX	-	1303	1359	17	12351711	12353017	8	9
Bd1	12979853	12981187	RLC_unknown_Bd1-520,ident_perc:=100.0,cov_perc:=18.0,name_orig:=Bd2_RLC_39,class:=RLC	+	1334	1484	13	12979848	12981175	23	12
