chromosome	feature_start	feature_end	feature_id	feature_strand	feature_length	isize	nr_deviant	absence_start	absence_end	cov_mean	cov_stdev
Bd1	86604	87943	RLX_unknown_Bd1-21,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=6,name_orig:=Bd4_RLX_3,class:=RLX	+	1339	1415.0	4	86604	87960	8	7
Bd1	1254341	1255345	RLC_unknown_Bd1-127,ident_perc:=87.0,cov_perc:=15.0,tsd_len:=0,name_orig:=Bd5_RLC_9,class:=RLC	-	1004	1162.5	24	1254314	1255345	13	7
Bd1	1798466	1799783	RLG_unknown_Bd1-137,ident_perc:=98.0,cov_perc:=10.0,name_orig:=Bd5_RLG_4,class:=RLG	+	1317	1511.0	2	1798408	1799827	17	13
Bd1	1937345	1940473	RIX_noname_Bd1-17,tsd_len:=1,name_orig:=RIX_noname_Bd1-17,class:=RIX	+	3128	3438.0	24	1937243	1940565	28	19
Bd1	2133340	2137369	DTA_noname_Bd1-4,tsd_len:=1,name_orig:=DTA_noname_Bd1-4,class:=DTA	-	4029	4194.0	20	2133343	2137370	3	6
Bd1	2347501	2348842	RLX_unknown_Bd1-75,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=5,name_orig:=Bd4_RLX_3,class:=RLX	-	1341	1453	15	2347500	2348843	11	8
Bd1	3551757	3553082	RLC_unknown_Bd1-180,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=6,name_orig:=Bd2_RLC_14,class:=RLC	+	1325	1441	5	3551731	3553082	16	11
Bd1	4366035	4368549	RLC_unknown_Bd1-199,ident_perc:=94.0,cov_perc:=24.0,name_orig:=Bd2_RLC_29,class:=RLC	-	2514	2867.0	6	4368463	4371263	17	9
Bd1	4368574	4371106	RIX_noname_Bd1-32,tsd_len:=0,name_orig:=RIX_noname_Bd1-32,class:=RIX	-	2532	2867.0	6	4368463	4371263	4	6
Bd1	4521353	4524384	RLX_unknown_Bd1-139,ident_perc:=94.0,cov_perc:=26.0,name_orig:=Bd2_RLX_19,class:=RLX	-	3031	3353	5	4521147	4524416	5	8
