chromosome	feature_start	feature_end	feature_id	feature_strand	feature_length	isize	nr_deviant	absence_start	absence_end	cov_mean	cov_stdev
Bd1	86604	87943	RLX_unknown_Bd1-21,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=6,name_orig:=Bd4_RLX_3,class:=RLX	+	1339	1412	1	86552	87964	11	11
Bd1	1254341	1255345	RLC_unknown_Bd1-127,ident_perc:=87.0,cov_perc:=15.0,tsd_len:=0,name_orig:=Bd5_RLC_9,class:=RLC	-	1004	1108	19	1254314	1255345	9	7
Bd1	2133340	2137369	DTA_noname_Bd1-4,tsd_len:=1,name_orig:=DTA_noname_Bd1-4,class:=DTA	-	4029	4136.5	12	2133343	2137370	3	7
Bd1	2347501	2348842	RLX_unknown_Bd1-75,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=5,name_orig:=Bd4_RLX_3,class:=RLX	-	1341	1429.0	14	2347500	2348847	9	8
Bd1	2802171	2803515	RLX_unknown_Bd1-91,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_3,class:=RLX	-	1344	1411	15	2802176	2803515	18	10
Bd1	3551757	3553082	RLC_unknown_Bd1-180,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=6,name_orig:=Bd2_RLC_14,class:=RLC	+	1325	1399	5	3551756	3553082	15	10
Bd1	4366035	4368549	RLC_unknown_Bd1-199,ident_perc:=94.0,cov_perc:=24.0,name_orig:=Bd2_RLC_29,class:=RLC	-	2514	2772.5	2	4368522	4371262	16	9
Bd1	4368574	4371106	RIX_noname_Bd1-32,tsd_len:=0,name_orig:=RIX_noname_Bd1-32,class:=RIX	-	2532	2772.5	2	4368522	4371262	4	5
Bd1	4521353	4524384	RLX_unknown_Bd1-139,ident_perc:=94.0,cov_perc:=26.0,name_orig:=Bd2_RLX_19,class:=RLX	-	3031	3144	1	4521217	4524384	12	20
Bd1	5497594	5498932	RLX_unknown_Bd1-166,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_3,class:=RLX	+	1338	1593.0	2	5497461	5498932	14	11
Bd1	5743732	5744266	RLX_unknown_Bd1-171,ident_perc:=87.0,cov_perc:=2.0,name_orig:=Bd1_RLX_8,class:=RLX	+	534	622	13	5743740	5744392	7	7
Bd1	5966618	5967463	RLX_unknown_Bd1-181,ident_perc:=95.0,cov_perc:=7.0,tsd_len:=5,name_orig:=Bd3_RLX_11,class:=RLX	-	845	876.0	4	5966618	5967463	6	5
Bd1	7103823	7104053	RLX_unknown_Bd1-214,ident_perc:=99.0,cov_perc:=4.0,name_orig:=Bd1_RLX_2,class:=RLX	-	230	561	1	7103565	7104128	18	12
Bd1	7557083	7558429	RLX_unknown_Bd1-223,ident_perc:=93.0,cov_perc:=19.0,tsd_len:=2,name_orig:=Bd4_RLX_3,class:=RLX	-	1346	1441.0	22	7557052	7558426	8	8
Bd1	8101206	8102567	RLG_unknown_Bd1-457,ident_perc:=98.0,cov_perc:=9.0,name_orig:=Bd4_RLG_51,class:=RLG	-	1361	1486	5	8101221	8102622	16	10
Bd1	8152338	8157497	RLC_unknown_Bd1-6,tsd_len:=5,ltr_age:=0.227,name_orig:=Bd1_RLC_6,class:=RLC	+	5159	5233	11	8152337	8157495	15	14
