chromosome	feature_start	feature_end	feature_id	feature_strand	feature_length	isize	nr_deviant	absence_start	absence_end	cov_mean	cov_stdev
Bd1	86604	87943	RLX_unknown_Bd1-21,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=6,name_orig:=Bd4_RLX_3,class:=RLX	+	1339	1462.5	8	86603	87943	10	10
Bd1	1166286	1166478	DTH_Tourist_C_Bd1-8,tsd_len:=3,name_orig:=DTH_Tourist_C_Bd1-8,class:=DTH	-	192	537	1	1165968	1166505	19	7
Bd1	1254341	1255345	RLC_unknown_Bd1-127,ident_perc:=87.0,cov_perc:=15.0,tsd_len:=0,name_orig:=Bd5_RLC_9,class:=RLC	-	1004	1094.0	20	1254314	1255344	15	9
Bd1	1406355	1406578	RLC_unknown_Bd1-132,ident_perc:=74.0,cov_perc:=1.0,tsd_len:=1,name_orig:=Bd4_RLC_17,class:=RLC	+	223	543	1	1405959	1406571	22	10
Bd1	1798466	1799783	RLG_unknown_Bd1-137,ident_perc:=98.0,cov_perc:=10.0,name_orig:=Bd5_RLG_4,class:=RLG	+	1317	1723	1	1798224	1799946	25	25
Bd1	1912181	1913892	RLC_unknown_Bd1-144,ident_perc:=100.0,cov_perc:=20.0,tsd_len:=5,name_orig:=Bd3_RLC_47,class:=RLC	+	1711	1722	3	1912181	1913892	24	18
Bd1	2133340	2137369	DTA_noname_Bd1-4,tsd_len:=1,name_orig:=DTA_noname_Bd1-4,class:=DTA	-	4029	4075.5	10	2133343	2137370	4	9
Bd1	2347501	2348842	RLX_unknown_Bd1-75,ident_perc:=99.0,cov_perc:=19.0,tsd_len:=5,name_orig:=Bd4_RLX_3,class:=RLX	-	1341	1416	21	2347500	2348847	11	7
Bd1	2802171	2803515	RLX_unknown_Bd1-91,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_3,class:=RLX	-	1344	1393.5	8	2802176	2803516	17	13
Bd1	3551757	3553082	RLC_unknown_Bd1-180,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=6,name_orig:=Bd2_RLC_14,class:=RLC	+	1325	1375	7	3551755	3553082	19	15
Bd1	4366035	4368549	RLC_unknown_Bd1-199,ident_perc:=94.0,cov_perc:=24.0,name_orig:=Bd2_RLC_29,class:=RLC	-	2514	2790	1	4368490	4371264	19	10
Bd1	4489015	4492146	RIX_noname_Bd1-35,tsd_len:=1,name_orig:=RIX_noname_Bd1-35,class:=RIX	-	3131	3470	5	4488898	4492256	29	24
Bd1	4521353	4524384	RLX_unknown_Bd1-139,ident_perc:=94.0,cov_perc:=26.0,name_orig:=Bd2_RLX_19,class:=RLX	-	3031	3234.5	4	4521217	4524387	8	11
Bd1	4882438	4883783	RLX_unknown_Bd1-151,ident_perc:=98.0,cov_perc:=19.0,tsd_len:=0,name_orig:=Bd4_RLX_1,class:=RLX	-	1345	1414	15	4882437	4883778	9	9
Bd1	5741999	5742157	DTH_Tourist_A_Bd1-26,tsd_len:=2,name_orig:=DTH_Tourist_A_Bd1-26,class:=DTH	+	158	533	1	5741703	5742250	14	10
Bd1	5743732	5744266	RLX_unknown_Bd1-171,ident_perc:=87.0,cov_perc:=2.0,name_orig:=Bd1_RLX_8,class:=RLX	+	534	598	5	5743704	5744392	7	8
Bd1	5966618	5967463	RLX_unknown_Bd1-181,ident_perc:=95.0,cov_perc:=7.0,tsd_len:=5,name_orig:=Bd3_RLX_11,class:=RLX	-	845	1005.0	2	5966566	5967520	4	3
Bd1	8152338	8157497	RLC_unknown_Bd1-6,tsd_len:=5,ltr_age:=0.227,name_orig:=Bd1_RLC_6,class:=RLC	+	5159	5212	15	8152338	8157494	9	9
Bd1	8318352	8319681	RLC_unknown_Bd1-308,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=2,name_orig:=Bd2_RLC_14,class:=RLC	-	1329	1390	13	8318354	8319681	26	19
Bd1	8471536	8472861	RLC_unknown_Bd1-315,ident_perc:=100.0,cov_perc:=17.0,tsd_len:=5,name_orig:=Bd1_RLC_43,class:=RLC	-	1325	1351	9	8471535	8472861	22	18
Bd1	9097221	9097936	RLC_unknown_Bd1-333,ident_perc:=98.0,cov_perc:=12.0,tsd_len:=0,name_orig:=Bd2_RLC_6,class:=RLC	-	715	841	9	9097223	9097931	7	7
Bd1	9282208	9283550	RLC_unknown_Bd1-348,ident_perc:=99.0,cov_perc:=16.0,tsd_len:=0,name_orig:=Bd2_RLC_14,class:=RLC	-	1342	1436.5	2	9282212	9283608	19	17
Bd1	9826045	9827786	RLC_unknown_Bd1-371,ident_perc:=99.0,cov_perc:=20.0,tsd_len:=4,name_orig:=Bd1_RLC_18,class:=RLC	-	1741	1824.0	8	9826044	9827816	21	32
Bd1	9883314	9898390	RLG_unknown_Bd1-4,tsd_len:=5,ltr_age:=4.085,name_orig:=Bd1_RLG_4,class:=RLG	-	15076	15139	15	9883314	9898390	2	5
Bd1	10285661	10286727	RLC_unknown_Bd1-392,ident_perc:=94.0,cov_perc:=16.0,tsd_len:=5,name_orig:=Bd5_RLC_9,class:=RLC	+	1066	1135.5	18	10285663	10286726	24	14
Bd1	10345791	10353667	RLC_unknown_Bd1-8,tsd_len:=5,ltr_age:=0.258,name_orig:=Bd1_RLC_8,class:=RLC	-	7876	7951	5	10345783	10353667	38	30
Bd1	11042291	11042456	DTM_Mutator_c8-1_Bd1-13,tsd_len:=0,name_orig:=DTM_Mutator_c8-1_Bd1-13,class:=DTM	+	165	542.5	2	11042290	11042751	9	9
